# ----------------------------------------,,,,,,,,,
# Miratrix,,,,,,,,,
# Channels,,,,,,,,,
# 20180831-20190831,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Keyword,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
(not provided),615,591,727,35.90%,1.75,00:01:42,0.00%,0,£0.00
amazon,3,3,3,100.00%,1,00:00:00,0.00%,0,£0.00
(not set),1,1,1,100.00%,1,00:00:00,0.00%,0,£0.00
miratrix,1,1,1,0.00%,2,00:11:37,0.00%,0,£0.00
miratrix london,1,1,1,0.00%,1,00:05:27,0.00%,0,£0.00
,622,598,734,36.10%,1.75,00:01:43,0.00%,0,£0.00
,,,,,,,,,
Day Index,Users,,,,,,,,
8/31/18,5,,,,,,,,
9/1/18,4,,,,,,,,
9/2/18,5,,,,,,,,
9/3/18,3,,,,,,,,
9/4/18,4,,,,,,,,
9/5/18,9,,,,,,,,
9/6/18,7,,,,,,,,
9/7/18,2,,,,,,,,
9/8/18,3,,,,,,,,
9/9/18,0,,,,,,,,
9/10/18,3,,,,,,,,
9/11/18,3,,,,,,,,
9/12/18,7,,,,,,,,
9/13/18,4,,,,,,,,
9/14/18,5,,,,,,,,
9/15/18,0,,,,,,,,
9/16/18,2,,,,,,,,
9/17/18,1,,,,,,,,
9/18/18,5,,,,,,,,
9/19/18,3,,,,,,,,
9/20/18,4,,,,,,,,
9/21/18,9,,,,,,,,
9/22/18,1,,,,,,,,
9/23/18,5,,,,,,,,
9/24/18,4,,,,,,,,
9/25/18,6,,,,,,,,
9/26/18,7,,,,,,,,
9/27/18,5,,,,,,,,
9/28/18,7,,,,,,,,
9/29/18,1,,,,,,,,
9/30/18,0,,,,,,,,
10/1/18,3,,,,,,,,
10/2/18,4,,,,,,,,
10/3/18,2,,,,,,,,
10/4/18,2,,,,,,,,
10/5/18,2,,,,,,,,
10/6/18,1,,,,,,,,
10/7/18,3,,,,,,,,
10/8/18,4,,,,,,,,
10/9/18,3,,,,,,,,
10/10/18,8,,,,,,,,
10/11/18,2,,,,,,,,
10/12/18,1,,,,,,,,
10/13/18,3,,,,,,,,
10/14/18,2,,,,,,,,
10/15/18,4,,,,,,,,
10/16/18,8,,,,,,,,
10/17/18,2,,,,,,,,
10/18/18,1,,,,,,,,
10/19/18,4,,,,,,,,
10/20/18,3,,,,,,,,
10/21/18,0,,,,,,,,
10/22/18,5,,,,,,,,
10/23/18,3,,,,,,,,
