# ----------------------------------------
# Miratrix
# Channels
# 20180831-20190831
# ----------------------------------------

Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
brightonseo.com,25,25,31,0.00%,1.42,00:01:08,0.00%,0,£0.00
clutch.co,24,23,31,54.84%,1.58,00:01:04,0.00%,0,£0.00
yell.com,5,5,7,0.00%,1.86,00:00:24,0.00%,0,£0.00
free-website-traffic.com,4,4,4,25.00%,2.25,00:00:36,0.00%,0,£0.00
growthbug.com,4,4,6,0.00%,1.17,00:05:15,0.00%,0,£0.00
miratrix.co.uk,4,3,12,58.33%,2.08,00:06:39,0.00%,0,£0.00
businessofapps.com,3,3,6,50.00%,1.50,00:04:36,0.00%,0,£0.00
s3.amazonaws.com,3,0,6,0.00%,2.33,00:02:39,16.67%,1,£0.00
mobuzz.org,2,2,2,50.00%,2.00,00:01:35,0.00%,0,£0.00
search.google.com,2,0,8,0.00%,2.88,00:07:34,0.00%,0,£0.00
,101,88,144,23.61%,3.85,00:02:54,2.08%,3,£0.00

Day Index,Users
8/31/18,0
9/1/18,0
9/2/18,0
9/3/18,0
9/4/18,1
9/5/18,0
9/6/18,1
9/7/18,0
9/8/18,0
9/9/18,0
9/10/18,0
9/11/18,1
9/12/18,0
9/13/18,0
9/14/18,0
9/15/18,0
9/16/18,0
9/17/18,0
9/18/18,2
9/19/18,1
9/20/18,0
9/21/18,0
9/22/18,1
9/23/18,1
9/24/18,0
9/25/18,1
9/26/18,0
9/27/18,1
9/28/18,1
9/29/18,0
9/30/18,0
10/1/18,1
10/2/18,0
10/3/18,0
10/4/18,0
10/5/18,3
10/6/18,0
10/7/18,0
10/8/18,0
10/9/18,1
10/10/18,0
10/11/18,0
10/12/18,0
10/13/18,0
10/14/18,0
10/15/18,1
10/16/18,0
10/17/18,1
10/18/18,0
10/19/18,0
10/20/18,0
10/21/18,0
10/22/18,1
10/23/18,0
10/24/18,2
10/25/18,1
10/26/18,0
10/27/18,0
10/28/18,0
10/29/18,1
10/30/18,0
10/31/18,1
11/1/18,0
11/2/18,0
11/3/18,0
11/4/18,0
11/5/18,0
11/6/18,2
11/7/18,0
11/8/18,0
11/9/18,1
11/10/18,0
11/11/18,0
11/12/18,0
11/13/18,1
11/14/18,0
11/15/18,1
11/16/18,0
11/17/18,0
11/18/18,0
11/19/18,1
11/20/18,1
11/21/18,0
11/22/18,0
11/23/18,0
11/24/18,1
11/25/18,0
11/26/18,0
11/27/18,0
11/28/18,1
11/29/18,0
11/30/18,1
12/1/18,0
12/2/18,0
12/3/18,0
12/4/18,1
12/5/18,0
12/6/18,0
12/7/18,0
12/8/18,0
12/9/18,0
12/10/18,0
12/11/18,0
12/12/18,0
12/13/18,0
12/14/18,0
12/15/18,0
12/16/18,0
12/17/18,0
12/18/18,0
12/19/18,0
12/20/18,0
12/21/18,0
12/22/18,0
12/23/18,0
12/24/18,0
12/25/18,0
12/26/18,0
12/27/18,0
12/28/18,0
12/29/18,0
12/30/18,0
12/31/18,0
1/1/19,0
1/2/19,0
1/3/19,0
1/4/19,0
1/5/19,0
1/6/19,0
1/7/19,0
1/8/19,0
1/9/19,0
1/10/19,0
1/11/19,4
1/12/19,0
1/13/19,0
1/14/19,0
1/15/19,1
1/16/19,0
1/17/19,1
1/18/19,0
1/19/19,0
1/20/19,0
1/21/19,0
1/22/19,0
1/23/19,1
1/24/19,0
1/25/19,0
1/26/19,0
1/27/19,0
1/28/19,0
1/29/19,0
1/30/19,0
1/31/19,1
2/1/19,0
2/2/19,0
2/3/19,0
2/4/19,0
2/5/19,0
2/6/19,1
2/7/19,0
2/8/19,0
2/9/19,0
2/10/19,0
2/11/19,2
2/12/19,0
2/13/19,0
2/14/19,0
2/15/19,0
2/16/19,0
2/17/19,1
2/18/19,0
2/19/19,0
2/20/19,1
2/21/19,0
2/22/19,0
2/23/19,1
2/24/19,0
2/25/19,1
2/26/19,0
2/27/19,0
2/28/19,1
3/1/19,0
3/2/19,0
3/3/19,0
3/4/19,0
3/5/19,1
3/6/19,0
3/7/19,0
3/8/19,1
3/9/19,0
3/10/19,0
3/11/19,0
3/12/19,0
3/13/19,0
3/14/19,0
3/15/19,0
3/16/19,0
3/17/19,1
3/18/19,0
3/19/19,0
3/20/19,0
3/21/19,1
3/22/19,0
3/23/19,0
3/24/19,0
3/25/19,1
3/26/19,0
3/27/19,0
3/28/19,0
3/29/19,0
3/30/19,0
3/31/19,0
4/1/19,0
4/2/19,0
4/3/19,0
4/4/19,1
4/5/19,0
4/6/19,0
4/7/19,0
4/8/19,0
4/9/19,1
4/10/19,0
4/11/19,1
4/12/19,0
4/13/19,0
4/14/19,0
4/15/19,1
4/16/19,0
4/17/19,0
4/18/19,0
4/19/19,0
4/20/19,0
4/21/19,0
4/22/19,1
4/23/19,1
4/24/19,1
4/25/19,0
4/26/19,0
4/27/19,0
4/28/19,1
4/29/19,0
4/30/19,0
5/1/19,0
5/2/19,0
5/3/19,0
5/4/19,1
5/5/19,0
5/6/19,0
5/7/19,0
5/8/19,0
5/9/19,0
5/10/19,0
5/11/19,1
5/12/19,0
5/13/19,0
5/14/19,0
5/15/19,0
5/16/19,0
5/17/19,0
5/18/19,0
5/19/19,0
5/20/19,0
5/21/19,0
5/22/19,1
5/23/19,1
5/24/19,1
5/25/19,0
5/26/19,0
5/27/19,1
5/28/19,1
5/29/19,1
5/30/19,0
5/31/19,1
6/1/19,0
6/2/19,0
6/3/19,0
6/4/19,0
6/5/19,0
6/6/19,0
6/7/19,1
6/8/19,1
6/9/19,0
6/10/19,0
6/11/19,0
6/12/19,1
6/13/19,4
6/14/19,2
6/15/19,2
6/16/19,0
6/17/19,1
6/18/19,0
6/19/19,3
6/20/19,1
6/21/19,2
6/22/19,0
6/23/19,0
6/24/19,1
6/25/19,0
6/26/19,1
6/27/19,0
6/28/19,3
6/29/19,2
6/30/19,1
7/1/19,3
7/2/19,2
7/3/19,1
7/4/19,2
7/5/19,2
7/6/19,1
7/7/19,0
7/8/19,0
7/9/19,1
7/10/19,0
7/11/19,0
7/12/19,3
7/13/19,0
7/14/19,0
7/15/19,1
7/16/19,3
7/17/19,0
7/18/19,0
7/19/19,0
7/20/19,0
7/21/19,1
7/22/19,1
7/23/19,1
7/24/19,0
7/25/19,1
7/26/19,0
7/27/19,0
7/28/19,0
7/29/19,1
7/30/19,0
7/31/19,0
8/1/19,0
8/2/19,0
8/3/19,0
8/4/19,0
8/5/19,0
8/6/19,0
8/7/19,0
8/8/19,0
8/9/19,0
8/10/19,0
8/11/19,0
8/12/19,1
8/13/19,1
8/14/19,1
8/15/19,0
8/16/19,0
8/17/19,0
8/18/19,0
8/19/19,0
8/20/19,0
8/21/19,0
8/22/19,1
8/23/19,1
8/24/19,0
8/25/19,1
8/26/19,1
8/27/19,1
8/28/19,0
8/29/19,0
8/30/19,0
8/31/19,0
,131
