# ----------------------------------------
# Miratrix
# Channels
# 20180831-20190831
# ----------------------------------------

Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
Organic Search,622,598,734,36.10%,1.75,00:01:43,0.00%,0,£0.00
Direct,601,599,665,57.74%,1.37,00:00:42,0.00%,0,£0.00
(Other),194,160,248,18.15%,2.10,00:02:35,0.00%,0,£0.00
Referral,100,88,144,23.61%,3.85,00:02:54,2.08%,3,£0.00
Social,41,39,42,35.71%,1.19,00:00:49,0.00%,0,£0.00
,"1,558","1,484","1,833",40.53%,1.81,00:01:32,0.16%,3,£0.00

Day Index,Users
8/31/18,5
9/1/18,4
9/2/18,5
9/3/18,7
9/4/18,7
9/5/18,10
9/6/18,11
9/7/18,5
9/8/18,3
9/9/18,1
9/10/18,5
9/11/18,8
9/12/18,14
9/13/18,12
9/14/18,8
9/15/18,1
9/16/18,4
9/17/18,2
9/18/18,15
9/19/18,9
9/20/18,8
9/21/18,11
9/22/18,5
9/23/18,7
9/24/18,7
9/25/18,9
9/26/18,8
9/27/18,8
9/28/18,8
9/29/18,2
9/30/18,2
10/1/18,8
10/2/18,10
10/3/18,3
10/4/18,2
10/5/18,5
10/6/18,1
10/7/18,4
10/8/18,7
10/9/18,10
10/10/18,12
10/11/18,3
10/12/18,4
10/13/18,4
10/14/18,5
10/15/18,9
10/16/18,12
10/17/18,7
10/18/18,4
10/19/18,4
10/20/18,5
10/21/18,1
10/22/18,8
10/23/18,4
10/24/18,5
10/25/18,8
10/26/18,3
10/27/18,8
10/28/18,9
10/29/18,7
10/30/18,5
10/31/18,10
11/1/18,4
11/2/18,5
11/3/18,6
11/4/18,2
11/5/18,4
11/6/18,11
11/7/18,3
11/8/18,9
11/9/18,11
11/10/18,5
11/11/18,5
11/12/18,23
11/13/18,96
11/14/18,7
11/15/18,6
11/16/18,4
11/17/18,12
11/18/18,5
11/19/18,4
11/20/18,7
11/21/18,12
11/22/18,5
11/23/18,10
11/24/18,6
11/25/18,2
11/26/18,9
11/27/18,6
11/28/18,5
11/29/18,8
11/30/18,3
12/1/18,6
12/2/18,4
12/3/18,10
12/4/18,1
12/5/18,0
12/6/18,0
12/7/18,0
12/8/18,0
12/9/18,0
12/10/18,0
12/11/18,0
12/12/18,0
12/13/18,0
12/14/18,0
12/15/18,0
12/16/18,0
12/17/18,0
12/18/18,0
12/19/18,0
12/20/18,0
12/21/18,0
12/22/18,0
12/23/18,0
12/24/18,0
12/25/18,0
12/26/18,0
12/27/18,0
12/28/18,0
12/29/18,0
12/30/18,0
12/31/18,0
1/1/19,0
1/2/19,0
1/3/19,0
1/4/19,0
1/5/19,0
1/6/19,0
1/7/19,0
1/8/19,0
1/9/19,0
1/10/19,0
1/11/19,13
1/12/19,2
1/13/19,4
1/14/19,7
1/15/19,6
1/16/19,7
1/17/19,5
1/18/19,2
1/19/19,0
1/20/19,15
1/21/19,3
1/22/19,5
1/23/19,10
1/24/19,7
1/25/19,1
1/26/19,5
1/27/19,1
1/28/19,1
1/29/19,1
1/30/19,7
1/31/19,7
2/1/19,2
2/2/19,0
2/3/19,2
2/4/19,4
2/5/19,10
2/6/19,7
2/7/19,5
2/8/19,4
2/9/19,0
2/10/19,2
2/11/19,7
2/12/19,5
2/13/19,3
2/14/19,4
2/15/19,1
2/16/19,2
2/17/19,3
2/18/19,3
2/19/19,5
2/20/19,3
2/21/19,5
2/22/19,4
2/23/19,2
2/24/19,1
2/25/19,1
2/26/19,4
2/27/19,4
2/28/19,3
3/1/19,2
3/2/19,4
3/3/19,4
3/4/19,6
3/5/19,5
3/6/19,4
3/7/19,7
3/8/19,4
3/9/19,0
3/10/19,4
3/11/19,3
3/12/19,7
3/13/19,6
3/14/19,3
3/15/19,3
3/16/19,4
3/17/19,3
3/18/19,5
3/19/19,3
3/20/19,7
3/21/19,3
3/22/19,2
3/23/19,1
3/24/19,5
3/25/19,2
3/26/19,6
3/27/19,7
3/28/19,4
3/29/19,2
3/30/19,2
3/31/19,2
4/1/19,2
4/2/19,2
4/3/19,9
4/4/19,7
4/5/19,3
4/6/19,2
4/7/19,3
4/8/19,6
4/9/19,8
4/10/19,4
4/11/19,5
4/12/19,2
4/13/19,0
4/14/19,3
4/15/19,4
4/16/19,3
4/17/19,3
4/18/19,4
4/19/19,4
4/20/19,2
4/21/19,4
4/22/19,4
4/23/19,5
4/24/19,4
4/25/19,4
4/26/19,3
4/27/19,1
4/28/19,4
4/29/19,4
4/30/19,4
5/1/19,2
5/2/19,4
5/3/19,4
5/4/19,3
5/5/19,9
5/6/19,3
5/7/19,5
5/8/19,2
5/9/19,5
5/10/19,4
5/11/19,2
5/12/19,2
5/13/19,3
5/14/19,7
5/15/19,4
5/16/19,4
5/17/19,5
5/18/19,0
5/19/19,0
5/20/19,10
5/21/19,6
5/22/19,3
5/23/19,9
5/24/19,10
5/25/19,1
5/26/19,3
5/27/19,7
5/28/19,6
5/29/19,3
5/30/19,7
5/31/19,8
6/1/19,0
6/2/19,1
6/3/19,11
6/4/19,8
6/5/19,7
6/6/19,2
6/7/19,5
6/8/19,1
6/9/19,2
6/10/19,11
6/11/19,5
6/12/19,3
6/13/19,9
6/14/19,3
6/15/19,3
6/16/19,2
6/17/19,3
6/18/19,7
6/19/19,11
6/20/19,3
6/21/19,9
6/22/19,2
6/23/19,3
6/24/19,5
6/25/19,4
6/26/19,4
6/27/19,4
6/28/19,7
6/29/19,4
6/30/19,2
7/1/19,13
7/2/19,7
7/3/19,3
7/4/19,5
7/5/19,4
7/6/19,2
7/7/19,1
7/8/19,3
7/9/19,4
7/10/19,2
7/11/19,2
7/12/19,10
7/13/19,1
7/14/19,1
7/15/19,5
7/16/19,8
7/17/19,3
7/18/19,1
7/19/19,3
7/20/19,2
7/21/19,2
7/22/19,10
7/23/19,4
7/24/19,2
7/25/19,3
7/26/19,4
7/27/19,0
7/28/19,2
7/29/19,6
7/30/19,5
7/31/19,1
8/1/19,3
8/2/19,6
8/3/19,0
8/4/19,2
8/5/19,4
8/6/19,7
8/7/19,5
8/8/19,2
8/9/19,5
8/10/19,3
8/11/19,2
8/12/19,6
8/13/19,7
8/14/19,8
8/15/19,1
8/16/19,3
8/17/19,0
8/18/19,1
8/19/19,3
8/20/19,4
8/21/19,7
8/22/19,5
8/23/19,2
8/24/19,3
8/25/19,3
8/26/19,4
8/27/19,7
8/28/19,5
8/29/19,6
8/30/19,3
8/31/19,4
,"1,674"
