,Reporting starts,Reporting ends,Campaign name,Delivery,Mobile app installs,Mobile app actions,Cost per mobile app install (GBP),Cost per mobile app action (GBP),Desktop app installs,Desktop app engagement,Cost per desktop app install (GBP),Cost per desktop app engagement (GBP),Post reactions,Post comments,Post shares
0,2014-02-21,2018-01-29,Campaign1,0,11451.0,0.0,1.2756833464326,0.0,0.0,0.0,0.0,0.0,1807.0,42.0,133.0
1,2015-12-04,2015-12-04,Campaign2,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2,2015-10-21,2015-10-21,Campaign3,inactive,2.0,0.0,3.53,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3,2015-10-20,2015-10-20,Campaign3,inactive,2.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
4,2015-10-20,2015-10-20,Campaign4,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-10-19,2015-10-19,Campaign4,inactive,17.0,0.0,0.8823529411764699,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0
6,2015-10-19,2015-10-19,Campaign3,inactive,2.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
7,2015-10-18,2015-10-18,Campaign4,inactive,30.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0
8,2015-10-17,2015-10-17,Campaign5,inactive,1.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-10-17,2015-10-17,Campaign4,inactive,26.0,0.0,1.2692307692308,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0
10,2015-10-16,2015-10-16,Campaign4,inactive,11.0,0.0,1.0627272727273,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
11,2015-10-16,2015-10-16,Campaign5,inactive,15.0,0.0,2.1946666666667,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
12,2015-10-15,2015-10-15,Campaign5,inactive,26.0,0.0,1.2669230769231,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
13,2015-10-14,2015-10-14,Campaign5,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2015-09-17,2015-09-17,Campaign6,inactive,2.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,2015-08-28,2015-08-28,Campaign7,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2015-08-27,2015-08-27,Campaign7,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2015-07-16,2015-07-16,Campaign8,inactive,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2015-07-16,2015-07-16,Campaign9,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2015-07-16,2015-07-16,Campaign10,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2015-07-16,2015-07-16,Campaign11,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2015-07-16,2015-07-16,Campaign12,inactive,1.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2015-07-16,2015-07-16,Campaign13,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2015-07-15,2015-07-15,Campaign10,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2015-07-15,2015-07-15,Campaign14,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2015-07-15,2015-07-15,Campaign11,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2015-07-15,2015-07-15,Campaign12,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2015-07-15,2015-07-15,Campaign13,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2015-07-15,2015-07-15,Campaign8,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2015-07-15,2015-07-15,Campaign9,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2015-07-14,2015-07-14,Campaign13,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2015-07-14,2015-07-14,Campaign14,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2015-07-14,2015-07-14,Campaign10,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2015-07-14,2015-07-14,Campaign9,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
